Name,Escape 2013 2.3 2WD XLS,Escape 2013 2.3 2WD XLT,Escape 2013 2.3 4WD
新車售價,67.9萬,74.9萬,79.9萬
車身型式,中型SUV休旅,中型SUV休旅,中型SUV休旅
動力型式,汽油,汽油,汽油
變速系統,自排4速,自排4速,自排4速
排氣量,2261cc,2261cc,2261cc
能源局公佈平均油耗,10.8km/ltr,10.8km/ltr,10.2km/ltr
燃料稅,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元
車長(mm),4480mm,4480mm,4480mm
車寬(mm),1845mm,1845mm,1845mm
車高(mm),1700mm,1750mm,1750mm
軸距(mm),2620mm,2620mm,2620mm
車重(kg),1470kg,1485kg,1560kg
車門數,5門,5門,5門
乘客數,5座,5座,5座
進氣型式,自然吸氣,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
壓縮比,9.7,9.7,9.7
最大馬力,157hp@6000rpm,157hp@6000rpm,157hp@6000rpm
最大扭力,20.4kgm@4000rpm,20.4kgm@4000rpm,20.4kgm@4000rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/70R16,215/70R16,215/70R16
後輪尺碼,215/70R16,215/70R16,215/70R16
電動天窗,-,●,●
車頂行李架,-,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,-,●,-
恆溫空調,-,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
ABS防鎖死,●,●,●
煞車輔助系統,ABS+BAS,ABS+BAS+EBD,ABS+BAS+EBD
定速系統,-,●,●
倒車雷達,-,●,●
防盜系統,●,●,●
後座分離式傾倒,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
音響系統,MP3、CD,MP3、CD,MP3、CD
音響喇叭數量,4只,4只,6只
LED尾燈,●,●,●
前霧燈,-,●,●
後霧燈,●,●,●
