Name,607 2009 2.7 V6 HDi
新車售價,258.8萬
車身型式,大型房車
動力型式,柴油
變速系統,手自排6速
排氣量,2720cc
能源局公佈平均油耗,10.6km/ltr
燃料稅,4320元
牌照稅,15210元
車長(mm),4902mm
車寬(mm),1800mm
車高(mm),1442mm
軸距(mm),2800mm
車重(kg),1744kg
車門數,4門
乘客數,5座
進氣型式,雙渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型6缸
汽門數,24
壓縮比,17.3：1
最大馬力,204hp@4000rpm
最大扭力,44.9kgm@1900rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,225/50 R17
後輪尺碼,225/50 R17
電動天窗,●
感應式雨刷,●
後視鏡加熱/除霧,●
旅程電腦,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
後座側面氣囊,●
側面氣簾,●
胎壓偵測,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
前座座椅調整,●
後座分離式傾倒,●
座椅記憶功能,●
後座杯架,●
後座扶手,●
音響系統,MP3、CD
音響喇叭數量,10只
頭燈光源,HID
感應頭燈,●
前霧燈,●
後霧燈,●
