Name,Octavia 2017 1.0 TSI 動能版,Octavia 2017 1.0 TSI豪華動能版,Octavia 2017 1.4 TSI菁英版,Octavia 2017 2.0 TSI RS
新車售價,79.9(接單引進),89.8萬,97.8萬,134.8萬
車身型式,四門轎車 Sedan,四門轎車 Sedan,四門轎車 Sedan,四門轎車 Sedan
動力型式,汽油,汽油,汽油,汽油
變速系統,自手排7速,自手排7速,自手排7速,自手排6速
排氣量,999cc,999cc,1395cc,1984cc
極速(km/h),202km/h,202km/h,219km/h,249km/h
官方0-100km/h加速(s),10s,10s,8.2s,6.8s
能源局公佈平均油耗,17.4km/ltr,17.4km/ltr,-,-
能源效率等級,3,3,-,-
燃料稅,4320元,4320元,4800元,6180元
牌照稅,4320元,4320元,7120元,11230元
車長(mm),4670mm,4670mm,4670mm,4689mm
車寬(mm),1814mm,1814mm,1814mm,1814mm
車高(mm),1461mm,1461mm,1461mm,1448mm
軸距(mm),2686mm,2686mm,2686mm,2680mm
車重(kg),1247kg,1247kg,1269kg,1440kg
車門數,4門,4門,4門,4門
乘客數,5座,5座,5座,5座
油箱容量(L),50L,50L,50L,50L
行李容積(L),590L,590L,590L,590L
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列三缸,直列三缸,直列四缸,直列四缸
汽門數,12,12,16,16
最大馬力,115hp@5000~5500rpm,115hp@5000~5500rpm,150hp@5000~6000rpm,230hp@4700~6200rpm
最大扭力,20.4kgm@2000~3500rpm,20.4kgm@2000~3500rpm,25.5kgm@1500~3500rpm,35.7kgm@1500~4600rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑,扭力樑,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/55R16,205/55R16,225/45R17,225/40R18
後輪尺碼,205/55R16,205/55R16,225/45R17,225/40R18
引擎擺放位置,前置,前置,前置,前置
電動天窗,○,○,○,●
運動外觀套件,-,-,-,●
輪圈規格,16吋,16吋,17吋,18吋
感應式雨刷,●,●,●,●
後視鏡自動防眩目,-,●,●,●
後視鏡加熱/除霧,●,●,●,●
後視鏡電動折疊,●,●,●,●
後視鏡電動調整,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤調整,●,●,●,●
多功能方向盤,●,●,●,●
方向盤換檔,-,-,-,●
動力方向盤,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
多功能資訊幕,●,●,●,●
Keyless免匙系統,-,-,-,●
中控鎖,●,●,●,●
恆溫空調,-,雙區,雙區,雙區
後座出風口,●,●,●,●
車內粉塵過濾,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
後座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
膝部氣囊,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●
煞車輔助系統,●,●,●,●
動態穩定系統,ESC,ESC,ESC,ESC
循跡系統,MSR/ASR,MSR/ASR,MSR/ASR,MSR/ASR
斜坡起步輔助,●,●,●,●
定速系統,●,●,●,●
倒車雷達,後,後,後,後
防盜系統,●,●,●,●
電子懸吊,-,-,-,●
電子差速器,●,●,●,●
駕駛模式選擇,●,●,-,●
座椅材質,織布,真皮,真皮,皮布雙織
跑車式座椅,-,-,-,●
座椅高低調整,●,●,●,●
腰部支撐調整,●,●,●,●
前座座椅調整,●,●,●,●
後座分離式傾倒,6/4,6/4,6/4,6/4
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,●,●,●,●
多媒體系統,8吋,8吋,8吋,8吋
藍牙通訊,●,●,●,●
音響系統,●,●,●,●
音響喇叭數量,8,8,8,8
頭燈光源,鹵素,鹵素,LED,LED
感應頭燈,●,●,●,●
主動轉向頭燈,-,-,●,●
LED日行燈,●,●,●,●
LED尾燈,-,-,-,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
轉向輔助照明,-,-,-,●
車輛動能回收系統,●,●,●,●
引擎啟閉系統,●,●,●,START/STOP
