Name,9-5 Sedan 2012 Vector 2.0T,9-5 Sedan 2012 Aero 2.0T XWD,9-5 Sedan 2012 Aero 2.0T FWD,9-5 Sedan 2012 Aero 2.8TS XWD
新車售價,228萬,258萬,258萬,308萬
車身型式,大型房車,大型房車,大型房車,大型房車
動力型式,汽油,汽油,汽油,汽油
變速系統,手自排6速,手自排6速,手自排6速,手自排6速
排氣量,1998cc,1998cc,1998cc,2792cc
能源局公佈平均油耗,11km/ltr,9.3km/ltr,9.3km/ltr,9.4km/ltr
燃料稅,6180元,6180元,6180元,7200元
牌照稅,11230元,11230元,11230元,15210元
車長(mm),5008mm,5008mm,5008mm,5008mm
車寬(mm),1868mm,1868mm,1868mm,1868mm
車高(mm),1467mm,1458mm,1458mm,1467mm
軸距(mm),2837mm,2837mm,2837mm,2837mm
車重(kg),1745kg,1755kg,1755kg,1946kg
車門數,4門,4門,4門,4門
乘客數,5座,5座,5座,5座
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,V型6缸
汽門數,16,16,16,24
壓縮比,9.5,9.5,9.5,9.5
最大馬力,220hp@5300rpm,260hp@5200rpm,260hp@5200rpm,330hp@5690rpm
最大扭力,35.7kgm@2500rpm,40.8kgm@2500rpm,40.8kgm@2500rpm,43.9kgm@2500rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/55R17,245/45R18,245/45R18,245/40R19
後輪尺碼,225/55R17,245/45R18,245/45R18,245/40R19
電動天窗,-,全景式,全景式,全景式
感應式雨刷,●,●,●,●
後視鏡方向指示燈,●,●,●,●
方向盤換檔,●,●,●,●
旅程電腦,●,●,●,●
中央顯示幕,●,●,●,●
抬頭顯示幕,-,●,●,●
Keyless免匙系統,●,●,●,●
衛星導航,●,●,●,●
恆溫空調,●,●,●,●
後座出風口,●,●,●,●
車內粉塵過濾,●,●,●,●
前座正面氣囊,●,●,●,●
前座側面氣囊,●,●,●,●
側面氣簾,●,●,●,●
胎壓偵測,●,●,●,●
兒童安全椅固定裝置,ISOFIX,ISOFIX,ISOFIX,ISOFIX
ABS防鎖死,●,●,●,●
循跡系統,●,●,●,●
定速系統,●,●,●,●
倒車雷達,前,前,前,前
防盜系統,●,●,●,●
跑車式座椅,-,●,●,●
腰部支撐調整,電動,電動,電動,電動
前座座椅調整,●,●,●,●
後座分離式傾倒,●,●,●,●
座椅記憶功能,-,●,●,●
加熱座椅,●,●,●,●
後座杯架,●,●,●,●
後座扶手,●,●,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN,USB、AUX-IN
藍牙通訊,●,●,●,●
音響系統,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD,MP3、DVD、CD
音響喇叭數量,11只,11只,11只,11只
頭燈光源,HID,HID,HID,HID
感應頭燈,●,●,●,●
LED日行燈,●,●,●,●
前霧燈,●,●,●,●
後霧燈,●,●,●,●
