Name,4-Series Coupe 2019 420i M Sport,4-Series Coupe 2019 430i M Sport
新車售價,225萬,285萬
車身型式,雙門跑車,雙門跑車
動力型式,汽油,汽油
變速系統,手自排8速,手自排8速
排氣量,1998cc,1998cc
極速(km/h),235km/h,250km/h
官方0-100km/h加速(s),7.5s,5.8s
能源局公佈平均油耗,13.8km/ltr,14.0km/ltr
能源效率等級,1級,1級
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4638mm,4638mm
車寬(mm),1825mm,1825mm
車高(mm),1377mm,1367mm
軸距(mm),2810mm,2810mm
車重(kg),1495kg,1510kg
車門數,2門,2門
乘客數,4座,4座
油箱容量(L),60L,60L
行李容積(L),445L,445L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,184hp@5000rpm,252hp@5200rpm
最大扭力,27.5kgm@1350rpm,35.7kgm@1450rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/45R18,225/45R18
後輪尺碼,225/45R18,255/40R18
引擎擺放位置,前置,前置
電動天窗,-,●
運動外觀套件,●,●
輪圈規格,18吋,18吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
抬頭顯示幕,-,●
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,-,●
恆溫空調,●,●
後座出風口,●,●
車內粉塵過濾,●,-
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
失壓續跑胎,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,●,●
動態穩定系統,DSC,DSC
循跡系統,●,●
主動安全預防系統,●,●
定速系統,●,●
盲點偵測系統,●,●
駕駛警示系統,-,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,-
主動式智慧定速系統,●,●
電子差速器,-,●
駕駛模式選擇,●,●
座椅材質,皮革,真皮
跑車式座椅,●,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
座椅記憶功能,●,-
外部音源接入,●,●
多媒體系統,●,●
藍牙通訊,-,●
音響系統,●,●
音響喇叭數量,6只,9
頭燈光源,LED,LED
感應頭燈,●,●
頭燈水準自動調整,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
車輛動能回收系統,●,-
引擎啟閉系統,●,●
