Name,3-Series GT 2019 320i Sport Line,3-Series GT 2019 330i M Sport
新車售價,228萬,289萬
車身型式,中型房車,中型房車
動力型式,汽油,汽油
變速系統,手自排8速,手自排8速
排氣量,1998cc,1998cc
官方0-100km/h加速(s),8.1s,6.1s
能源局公佈平均油耗,13.8km/ltr,12.9km/ltr
能源效率等級,1級,2級
燃料稅,6180元,6180元
牌照稅,11230元,11230元
車長(mm),4824mm,4824mm
車寬(mm),1828mm,1828mm
車高(mm),1508mm,1508mm
軸距(mm),2920mm,2920mm
車重(kg),1600kg,1620kg
車門數,5門,5門
乘客數,5座,5座
油箱容量(L),60L,60L
行李容積(L),520~1600L,520~1600L
進氣型式,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
最大馬力,184hp@5000rpm,252hp@5200rpm
最大扭力,27.5kgm@1350rpm,35.7kgm@1450rpm
驅動型式,後輪驅動,後輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞
前輪尺碼,225/50R18,225/50R18
後輪尺碼,225/50R18,255/45R18
引擎擺放位置,前置,前置
電動天窗,●,●
運動外觀套件,○,●
電動開闔尾門/行李蓋,●,●
輪圈規格,18吋,18吋
感應式雨刷,●,●
後視鏡自動防眩目,●,●
後視鏡加熱/除霧,●,●
後視鏡記憶,●,●
後視鏡電動折疊,●,●
後視鏡電動調整,●,●
後視鏡方向指示燈,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,●,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,-,●
環景影像系統,○,○
Keyless免匙系統,●,●
中控鎖,●,●
衛星導航,●,●
恆溫空調,●,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,●,●
胎壓偵測,●,●
失壓續跑胎,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,●,●
動態穩定系統,DSC,DSC
車道偏離警示,●,●
循跡系統,●,●
主動安全預防系統,●,●
定速系統,●,●
盲點偵測系統,●,●
駕駛警示系統,●,●
倒車雷達,●,●
倒車顯影系統,●,●
防盜系統,●,●
主動式智慧定速系統,●,●
駕駛模式選擇,●,●
座椅材質,皮革,真皮
跑車式座椅,●,●
座椅高低調整,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動
前座座椅調整,●,●
後座分離式傾倒,4/2/4,4/2/4
後座扶手,●,●
外部音源接入,●,●
多媒體系統,●,●
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,6,9
頭燈光源,LED,LED
感應頭燈,●,●
LED日行燈,●,●
LED尾燈,●,●
前霧燈,●,●
後霧燈,●,●
車輛動能回收系統,●,●
引擎啟閉系統,●,●
