Name,NX 2018 NX200菁英版,NX 2018 NX200菁英PLUS版,NX 2018 NX200豪華版,NX 2018 NX300豪華版,NX 2018 NX300頂級版,NX 2018 NX300h豪華版,NX 2018 NX300 F Sport版,NX 2018 NX300h頂級版,NX 2018 NX300旗艦版,NX 2018 NX300 AWD F Sport版,NX 2018 NX300h AWD F Sport版,NX 2018 NX300h旗艦版
新車售價,155萬,165萬,172萬,195萬,202萬,215萬,216萬,225萬,233萬,233萬,249萬,249萬
車身型式,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅,中型SUV休旅
動力型式,汽油,汽油,汽油,汽油,汽油,油電混合,汽油,油電混合,汽油,汽油,油電混合,油電混合
變速系統,無段變速CVT,無段變速CVT,無段變速CVT,手自排6速,手自排6速,無段變速CVT,手自排6速,無段變速CVT,手自排6速,手自排6速,無段變速CVT,無段變速CVT
排氣量,1987cc,1987cc,1987cc,1998cc,1998cc,2494cc,1998cc,2494cc,1998cc,1998cc,2494cc,2494cc
極速(km/h),180km/h,180km/h,180km/h,200km/h,200km/h,180km/h,200km/h,180km/h,200km/h,200km/h,-,180km/h
官方0-100km/h加速(s),-,-,-,7.3s,7.3s,9.2s,7.3s,9.2s,7.3s,7.3s,-,9.2s
能源局公佈平均油耗,13.6km/ltr,13.6km/ltr,13.6km/ltr,12.5km/ltr,12.5km/ltr,16.9km/ltr,-,16.9km/ltr,-,-,15.1km/ltr,17.1km/ltr
能源效率等級,1,1,1,2,2,1,-,1,-,-,-,1
燃料稅,6180元,6180元,6180元,6180元,6180元,7200元,6180元,7200元,6180元,6180元,7200元,7200元
牌照稅,11230元,11230元,11230元,11230元,11230元,15210元,11230元,15210元,11230元,11230元,15210元,15210元
車長(mm),4640mm,4640mm,4640mm,4640mm,4640mm,4630mm,4640mm,4630mm,4640mm,4640mm,4630mm,4630mm
車寬(mm),1845mm,1845mm,1845mm,1845mm,1845mm,1845mm,1845mm,1845mm,1845mm,1845mm,1845mm,1845mm
車高(mm),1645mm,1645mm,1645mm,1645mm,1645mm,1645mm,1645mm,1645mm,1645mm,1645mm,1645mm,1645mm
軸距(mm),2660mm,2660mm,2660mm,2660mm,2660mm,2660mm,2660mm,2660mm,2660mm,2660mm,2660mm,2660mm
車重(kg),1685kg,1685kg,1685kg,1805kg,1805kg,1840kg,1805kg,1840kg,1805kg,1805kg,1905kg,1840kg
車門數,5門,5門,5門,5門,5門,5門,5門,5門,5門,5門,5門,5門
乘客數,5座,5座,5座,5座,5座,5座,5座,5座,5座,5座,5座,5座
油箱容量(L),60L,60L,60L,60L,60L,56L,60L,56L,60L,60L,56L,56L
行李容積(L),500~1545L,500~1545L,500~1545L,500~1545L,500~1545L,1520L,500~1545L,1520L,500~1545L,500~1545L,1520L,1520L
前輪距(mm),1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,-
後輪距(mm),1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,1580mm,-
最小離地高度(mm),185mm,185mm,185mm,190mm,190mm,-,190mm,-,190mm,190mm,-,-
進氣型式,自然吸氣,自然吸氣,自然吸氣,渦輪增壓,渦輪增壓,自然吸氣,渦輪增壓,自然吸氣,渦輪增壓,渦輪增壓,自然吸氣,自然吸氣
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16,16,16,16,16,16,16,16
壓縮比,10.5,10.5,10.5,10,10,12.5,10,12.5,10,10,12.5,12.5
最大馬力,150hp@6100rpm,150hp@6100rpm,150hp@6100rpm,238hp@4800~5600rpm,238hp@4800~5600rpm,155hp@5700rpm,238hp@4800~5600rpm,155hp@5700rpm,238hp@4800~5600rpm,238hp@4800~5600rpm,155hp@5700rpm,155hp@5700rpm
最大扭力,19.3kgm@3800rpm,19.3kgm@3800rpm,19.3kgm@3800rpm,35.7kgm@1650~4000rpm,35.7kgm@1650~4000rpm,21.4kgm@4200~4400rpm,35.7kgm@1650~4000rpm,21.4kgm@4200~4400rpm,35.7kgm@1650~4000rpm,35.7kgm@1650~4000rpm,21.4kgm@4200~4400rpm,21.4kgm@4200~4400rpm
馬達出力,-,-,-,-,-,-,-,-,-,-,-,前143hp/27.5kgm
油電綜效輸出,-,-,-,-,-,197hp,-,197hp,-,-,197hp,-
電動機最大功率(kW),-,-,-,-,-,143kW,-,143kW,-,-,-,143kW
電動機最大扭力(N·m),-,-,-,-,-,270N·m,-,270N·m,-,-,-,270N·m
電池種類,-,-,-,-,-,鎳氫,-,鎳氫,-,-,-,鎳氫
