Name,A6 2018 35 TDI,A6 2018 35 TFSI,A6 2018 40 TFSI quattro
新車售價,249萬,254萬,302萬
車身型式,大型房車,大型房車,大型房車
動力型式,柴油,汽油,汽油
變速系統,自手排7速,自手排7速,手自排7速
排氣量,1968cc,1798cc,1984cc
極速(km/h),226km/h,233km/h,250km/h
官方0-100km/h加速(s),8.2s,7.9s,6.5s
能源局公佈平均油耗,-,15.1km/ltr,-
能源效率等級,-,2,-
燃料稅,3708元,4800元,6180元
牌照稅,11230元,7120元,11230元
車長(mm),4933mm,4933mm,4933mm
車寬(mm),1874mm,1874mm,1874mm
車高(mm),1455mm,1455mm,1455mm
軸距(mm),2912mm,2912mm,2912mm
車重(kg),1660kg,1570kg,1660kg
車門數,4門,4門,4門
乘客數,5座,5座,5座
油箱容量(L),75L,75L,75L
行李容積(L),530~995L,530~995L,530~995L
前輪距(mm),1627mm,1627mm,1627mm
後輪距(mm),1618mm,1618mm,1618mm
進氣型式,渦輪增壓,渦輪增壓,渦輪增壓
汽門構造,DOHC雙凸輪軸,DOHC雙凸輪軸,DOHC雙凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸
汽門數,16,16,16
最大馬力,190hp@3800~4200rpm,190hp@4200~6200rpm,252hp@4900~5900rpm
最大扭力,40.8kgm@1750~3000rpm,32.7kgm@1400~4100rpm,37.8kgm@1600~4700rpm
驅動型式,前輪驅動,前輪驅動,四輪驅動
前輪懸吊,多連桿,多連桿,多連桿
後輪懸吊,多連桿,多連桿,多連桿
煞車型式,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,225/45R18,245/45R18,245/40R19
後輪尺碼,225/45R18,245/45R18,245/40R19
引擎擺放位置,前置,前置,前置
電動天窗,-,-,●
電動開闔尾門/行李蓋,●,●,●
輪圈規格,18吋,18吋,19吋
感應式雨刷,●,●,●
後視鏡自動防眩目,●,●,●
後視鏡加熱/除霧,●,●,●
後視鏡記憶,●,●,●
後視鏡電動折疊,●,●,●
後視鏡電動調整,●,●,●
後視鏡方向指示燈,●,●,●
方向盤調整,電動,●,●
多功能方向盤,●,●,●
方向盤換檔,●,●,●
動力方向盤,●,●,●
旅程電腦,●,●,●
中央顯示幕,●,●,●
多功能資訊幕,●,●,●
Keyless免匙系統,-,●,●
中控鎖,●,●,●
衛星導航,●,●,●
恆溫空調,雙區,雙區,雙區
後座出風口,●,●,●
前座正面氣囊,●,●,●
前座側面氣囊,●,●,●
側面氣簾,●,●,●
胎壓偵測,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●
煞車輔助系統,EBD,EBD,EBD
動態穩定系統,ESC,ESC,ESC
車道偏離警示,●,●,●
循跡系統,ASR,ASR,ASR
斜坡起步輔助,●,●,●
定速系統,●,●,●
盲點偵測系統,-,●,-
倒車雷達,前後,前後,前後
倒車顯影系統,●,●,●
電子差速器,●,●,●
電子手剎車,●,●,●
駕駛模式選擇,●,●,●
座椅材質,真皮,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●
後座分離式傾倒,●,●,●
座椅記憶功能,●,●,●
後座杯架,●,●,●
後座扶手,●,●,●
外部音源接入,●,●,●
多媒體系統,8吋,8吋,8吋
藍牙通訊,●,●,●
音響系統,●,●,●
音響喇叭數量,10,10,10
頭燈光源,LED,LED,LED
感應頭燈,●,●,●
頭燈水準自動調整,●,●,●
LED日行燈,●,●,●
LED尾燈,●,●,●
前霧燈,●,●,●
後霧燈,●,●,●
引擎啟閉系統,●,●,●
