Name,City 2018 VTi,City 2018 VTi-S
新車售價,62.9萬,66.9萬
車身型式,小型房車,小型房車
動力型式,汽油,汽油
變速系統,無段變速CVT,無段變速CVT
排氣量,1497cc,1497cc
能源局公佈平均油耗,17.5km/ltr,17.5km/ltr
能源效率等級,1,1
燃料稅,4800元,4800元
牌照稅,7120元,7120元
車長(mm),4440mm,4440mm
車寬(mm),1694mm,1694mm
車高(mm),1477mm,1477mm
軸距(mm),2600mm,2600mm
車重(kg),1100kg,1100kg
車門數,4門,4門
乘客數,5座,5座
油箱容量(L),40L,40L
行李容積(L),485L,485L
進氣型式,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸
汽門數,16,16
壓縮比,10.3,10.3
最大馬力,120hp@6600rpm,120hp@6600rpm
最大扭力,14.8kgm@4600rpm,14.8kgm@4600rpm
驅動型式,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣
後輪懸吊,扭力樑,扭力樑
煞車型式,前碟後鼓,前碟後鼓
前輪尺碼,175/65R15,185/55R16
後輪尺碼,175/65R15,185/55R16
引擎擺放位置,前置,前置
輪圈規格,15吋,16吋
後視鏡電動折疊,-,●
後視鏡電動調整,●,●
方向盤調整,●,●
多功能方向盤,●,●
方向盤換檔,-,●
動力方向盤,●,●
旅程電腦,●,●
中央顯示幕,●,●
多功能資訊幕,●,●
中控鎖,●,●
衛星導航,-,●
恆溫空調,-,●
後座出風口,●,●
前座正面氣囊,●,●
前座側面氣囊,●,●
側面氣簾,-,●
胎壓偵測,●,●
兒童安全椅固定裝置,-,ISO-FIX
ABS防鎖死,●,●
煞車輔助系統,●,●
動態穩定系統,●,●
循跡系統,●,●
斜坡起步輔助,●,●
定速系統,-,●
倒車雷達,●,●
防盜系統,●,●
座椅材質,皮革,皮革
座椅高低調整,●,●
前座座椅調整,●,●
後座分離式傾倒,6/4,6/4
後座杯架,●,●
後座扶手,●,●
外部音源接入,USB、AUX-IN,USB、AUX-IN
多媒體系統,-,●
藍牙通訊,●,●
音響系統,●,●
音響喇叭數量,4,4
頭燈光源,鹵素,鹵素
感應頭燈,●,●
LED日行燈,●,●
前霧燈,-,●
後霧燈,●,●
