Name,CR-Z 2015 1.5
新車售價,120萬
車身型式,雙門跑車
動力型式,油電混合
變速系統,手自排CVT 7速
排氣量,1497cc
能源局公佈平均油耗,21.1km/ltr
燃料稅,4800元
牌照稅,7120元
車長(mm),4075mm
車寬(mm),1740mm
車高(mm),1395mm
軸距(mm),2435mm
車重(kg),1195kg
車門數,3門
乘客數,2+2座
油箱容量(L),40L
進氣型式,自然吸氣
汽門構造,SOHC單凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10.4
最大馬力,118hp@6600rpm
最大扭力,14.7kgm@4800rpm
馬達出力,20hp/8.0kgm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,扭力樑
煞車型式,前後碟煞
前輪尺碼,195/55R16
後輪尺碼,195/55R16
電動天窗,全景式
感應式雨刷,●
後視鏡電動折疊,●
後視鏡方向指示燈,●
方向盤換檔,●
旅程電腦,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
循跡系統,●
定速系統,●
倒車雷達,●
防盜系統,●
後座分離式傾倒,●
外部音源接入,USB、AUX-IN
音響系統,MP3、CD
音響喇叭數量,7只
頭燈光源,HID
感應頭燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
