Name,Rexton Ⅱ 2012 RX270 XVT
新車售價,188萬
車身型式,大型SUV休旅
動力型式,柴油
變速系統,手自排5速
排氣量,2696cc
能源局公佈平均油耗,8.6km/ltr
燃料稅,4320元
牌照稅,15210元
車長(mm),4720mm
車寬(mm),1870mm
車高(mm),1830mm
軸距(mm),2820mm
車重(kg),2000kg
車門數,5門
乘客數,7座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列5缸
汽門數,20
壓縮比,17.5
最大馬力,186hp/4000rpm
最大扭力,41.0kgm/1600~3000rpm
驅動型式,四輪驅動
前輪懸吊,雙A臂
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,255/60R18
後輪尺碼,255/60R18
電動天窗,●
車頂行李架,●
感應式雨刷,●
方向盤換檔,●
旅程電腦,●
中央顯示幕,●
恆溫空調,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
ABS防鎖死,●
循跡系統,●
陡坡緩降系統,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
前座座椅調整,●
後座分離式傾倒,●
加熱座椅,●
後座杯架,●
後座扶手,●
外部音源接入,USB
數位電視,●
音響系統,MP3、DVD、CD
音響喇叭數量,7只
感應頭燈,●
前霧燈,●
後霧燈,●
